game,data,serie,team,opp,game_number,result,started,minutes,fg,fga,fgp,fg3,fg3a,fg3p,ft,fta,ftp,orb,drb,totrb,ast,stl,blk,tov,fouls,points
1,1985-04-19,EC1,CHI,MIL,1,L (-9),1,44:00,7,19,.368,0,1,.000,9,10,.900,1,3,4,10,3,0,1,3,23
2,1985-04-21,EC1,CHI,MIL,2,L (-7),1,43:00,9,17,.529,1,4,.250,11,12,.917,1,3,4,12,2,0,7,5,30
3,1985-04-24,EC1,CHI,MIL,3,W (+2),1,42:00,12,26,.462,0,1,.000,11,16,.688,3,5,8,7,4,1,3,4,35
4,1985-04-26,EC1,CHI,MIL,4,L (-8),1,42:00,6,16,.375,0,2,.000,17,20,.850,2,5,7,5,2,3,4,3,29
5,1986-04-17,EC1,CHI,BOS,1,L (-19),1,43:00,18,36,.500,0,0,,13,15,.867,0,4,4,2,2,1,5,3,49
6,1986-04-20,EC1,CHI,BOS,2,L (-4),1,53:00,22,41,.537,0,0,,19,21,.905,1,4,5,6,3,2,4,4,63
7,1986-04-22,EC1,CHI,BOS,3,L (-18),1,39:00,8,18,.444,1,1,1.000,2,3,.667,4,6,10,9,2,1,5,6,19
8,1987-04-23,EC1,CHI,BOS,1,L (-4),1,44:00,12,25,.480,0,1,.000,11,11,1.000,0,6,6,7,4,2,2,4,35
9,1987-04-26,EC1,CHI,BOS,2,L (-9),1,45:00,14,29,.483,2,3,.667,12,14,.857,1,3,4,4,0,4,4,3,42
10,1987-04-28,EC1,CHI,BOS,3,L (-11),1,39:00,9,30,.300,0,1,.000,12,14,.857,6,5,11,7,2,1,2,4,30
11,1988-04-28,EC1,CHI,CLE,1,W (+11),1,44:00,19,35,.543,0,0,,12,12,1.000,1,6,7,2,2,2,5,3,50
12,1988-05-01,EC1,CHI,CLE,2,W (+5),1,44:00,24,45,.533,0,0,,7,7,1.000,3,3,6,3,4,1,1,4,55
13,1988-05-03,EC1,CHI,CLE,3,L (-8),1,44:00,12,25,.480,0,0,,14,15,.933,2,3,5,9,2,1,4,5,38
14,1988-05-05,EC1,CHI,CLE,4,L (-6),1,42:00,18,25,.720,0,0,,8,9,.889,2,3,5,4,4,2,4,6,44
15,1988-05-08,EC1,CHI,CLE,5,W (+6),1,43:00,12,22,.545,0,0,,15,18,.833,1,3,4,6,2,2,7,4,39
16,1988-05-10,ECS,CHI,DET,1,L (-11),1,40:00,10,22,.455,0,1,.000,9,10,.900,5,6,11,6,0,1,5,4,29
17,1988-05-12,ECS,CHI,DET,2,W (+10),1,44:00,14,22,.636,0,0,,8,10,.800,4,7,11,1,1,1,2,5,36
18,1988-05-14,ECS,CHI,DET,3,L (-22),1,38:00,8,20,.400,0,0,,8,9,.889,1,6,7,3,1,1,5,3,24
19,1988-05-15,ECS,CHI,DET,4,L (-19),1,45:00,11,22,.500,0,0,,1,2,.500,2,5,7,5,6,0,3,0,23
20,1988-05-18,ECS,CHI,DET,5,L (-7),1,43:00,10,22,.455,1,2,.500,4,7,.571,2,6,8,8,2,0,3,4,25
21,1989-04-28,EC1,CHI,CLE,1,W (+7),1,40:00,12,21,.571,0,1,.000,7,8,.875,0,5,5,11,4,1,6,5,31
22,1989-04-30,EC1,CHI,CLE,2,L (-8),1,44:00,10,22,.455,0,1,.000,10,10,1.000,3,2,5,10,2,0,7,2,30
23,1989-05-03,EC1,CHI,CLE,3,W (+7),1,39:00,18,34,.529,1,1,1.000,7,9,.778,2,5,7,10,5,1,5,4,44
24,1989-05-05,EC1,CHI,CLE,4,L (-3),1,43:00,14,28,.500,0,1,.000,22,27,.815,0,3,3,4,3,0,1,6,50
25,1989-05-07,EC1,CHI,CLE,5,W (+1),1,44:00,17,32,.531,1,1,1.000,9,13,.692,3,6,9,6,1,0,2,3,44
26,1989-05-09,ECS,CHI,NYK,1,W (+11),1,46:00,11,17,.647,1,2,.500,11,11,1.000,2,8,10,12,2,0,6,5,34
27,1989-05-11,ECS,CHI,NYK,2,L (-17),1,34:00,7,17,.412,0,2,.000,1,4,.250,2,6,8,3,1,0,1,4,15
28,1989-05-13,ECS,CHI,NYK,3,W (+23),1,39:00,14,25,.560,1,2,.500,11,13,.846,2,13,15,9,6,1,3,3,40
29,1989-05-14,ECS,CHI,NYK,4,W (+13),1,42:00,12,18,.667,0,1,.000,23,28,.821,0,11,11,6,1,2,6,3,47
30,1989-05-16,ECS,CHI,NYK,5,L (-7),1,43:00,13,30,.433,1,3,.333,11,15,.733,5,3,8,10,5,1,3,2,38
31,1989-05-19,ECS,CHI,NYK,6,W (+2),1,45:00,14,22,.636,1,3,.333,11,12,.917,1,4,5,10,0,4,6,3,40
32,1989-05-21,ECF,CHI,DET,1,W (+6),1,45:00,10,29,.345,2,6,.333,10,13,.769,2,9,11,4,0,0,3,5,32
33,1989-05-23,ECF,CHI,DET,2,L (-9),1,38:00,9,20,.450,0,2,.000,9,11,.818,1,3,4,4,2,1,4,5,27
34,1989-05-27,ECF,CHI,DET,3,W (+2),1,45:00,16,26,.615,0,3,.000,14,15,.933,3,4,7,5,5,0,2,2,46
35,1989-05-29,ECF,CHI,DET,4,L (-6),1,43:00,5,15,.333,1,3,.333,12,17,.706,0,2,2,4,1,0,1,5,23
36,1989-05-31,ECF,CHI,DET,5,L (-9),1,46:00,4,8,.500,0,1,.000,10,11,.909,0,5,5,9,1,0,4,3,18
37,1989-06-02,ECF,CHI,DET,6,L (-9),1,42:00,13,26,.500,1,2,.500,5,12,.417,0,4,4,13,3,2,8,5,32
38,1990-04-27,EC1,CHI,MIL,1,W (+14),1,44:00,15,27,.556,0,1,.000,8,11,.727,1,7,8,7,2,1,7,4,38
39,1990-04-29,EC1,CHI,MIL,2,W (+7),1,44:00,12,21,.571,0,0,,12,14,.857,1,8,9,11,5,1,5,5,36
40,1990-05-01,EC1,CHI,MIL,3,L (-7),1,46:00,20,35,.571,1,5,.200,7,9,.778,2,7,9,5,1,2,5,4,48
41,1990-05-03,EC1,CHI,MIL,4,W (+24),1,32:00,8,19,.421,0,0,,9,13,.692,1,5,6,5,2,0,1,3,25
