Season,Team,Lg,Salary
,,,
2003-04,Cleveland Cavaliers,NBA,$4018920
2004-05,Cleveland Cavaliers,NBA,$4320360
2005-06,Cleveland Cavaliers,NBA,$4621800
2006-07,Cleveland Cavaliers,NBA,$5828090
2007-08,Cleveland Cavaliers,NBA,$13041250
2008-09,Cleveland Cavaliers,NBA,$14410581
2009-10,Cleveland Cavaliers,NBA,$15779912
2010-11,Miami Heat,NBA,$14500000
2011-12,Miami Heat,NBA,$16022500
2012-13,Miami Heat,NBA,$17545000
2013-14,Miami Heat,NBA,$19067500
2014-15,Cleveland Cavaliers,NBA,$20644400
2015-16,Cleveland Cavaliers,NBA,$22971000
2016-17,Cleveland Cavaliers,NBA,$30963450
2017-18,Cleveland Cavaliers,NBA,$33285709
2018-19,Los Angeles Lakers,NBA,$35654150
2019-20,Los Angeles Lakers,NBA,$37436858
2020-21,Los Angeles Lakers,NBA,$39219566
2021-22,Los Angeles Lakers,NBA,$41180544
2022-23,Los Angeles Lakers,NBA,$44474988
